Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Canada,Soybeans,1996,25715,537,131.17,-5.35
Pakistan,Sorghum,1995,12728,494,128.17,19.0
Albania,Yams,1995,108494,1485,132.49,16.37
China,Plantains,2013,99347,645,83.98,8.5
Vietnam,Sweet potatoes,2006,203586,1821,101.52,25.5
Bangladesh,Plantains,2006,80918,2666,101.12,25.5
Austria,Cassava,2005,149115,1110,97.19,6.35
Albania,Cassava,2002,161253,1485,104.51,16.37
Brazil,Yams,1991,122918,1761,141.35,25.0
Argentina,Sorghum,2001,18413,590,118.87,16.0
Thailand,Maize,2012,66736,1622,82.08,28.0
Germany,Plantains,2009,79886,700,86.36,8.5
Austria,Sorghum,2009,21921,1110,94.25,6.35
Argentina,Cassava,1999,132148,590,124.67,16.0
Mexico,Yams,2007,139730,758,100.85,21.0
Germany,Yams,2012,132642,700,77.32,8.5
France,Potatoes,1993,176759,867,141.23,12.5
Thailand,Rice,2013,76205,1622,74.31,28.0
Argentina,Sorghum,1997,15964,590,124.38,16.0
Albania,Cassava,2013,139162,1485,71.92,16.37
Austria,Potatoes,1992,152679,1110,138.55,6.35
Thailand,Sweet potatoes,2012,199414,1622,86.45,28.0
Netherlands,Soybeans,2001,30684,850,116.71,9.5
India,Wheat,1994,32804,1083,136.7,25.0
Vietnam,Sorghum,1990,16725,1821,140.37,25.5
Pakistan,Cassava,2012,117002,494,86.73,19.0
Canada,Sweet potatoes,2013,128808,537,86.14,-5.35
Indonesia,Yams,2010,137574,2702,97.1,26.5
Japan,Sorghum,1991,16333,1668,148.15,12.0
Netherlands,Cassava,2000,155820,850,122.13,9.5
Indonesia,Soybeans,1999,32853,2702,124.08,26.5
United Kingdom,Sorghum,2012,17077,1220,84.04,9.5
Spain,Maize,2012,61613,636,87.28,14.0
Belgium,Rice,2003,51495,847,106.99,10.5
France,Sweet potatoes,2000,170194,867,110.94,12.5
Albania,Sorghum,2002,18182,1485,104.82,16.37
Netherlands,Yams,1995,104839,850,133.77,9.5
India,Maize,2003,63540,1083,110.54,25.0
Indonesia,Potatoes,1991,196248,2702,156.06,26.5
India,Soybeans,2000,30666,1083,121.37,25.0
India,Yams,1992,111960,1083,137.77,25.0
Bangladesh,Potatoes,2002,186695,2666,116.2,25.5
Albania,Yams,2002,122735,1485,104.23,16.37
Japan,Cassava,1990,132298,1668,147.31,12.0
United Kingdom,Potatoes,1994,163742,1220,146.9,9.5
Pakistan,Soybeans,1996,24866,494,124.09,19.0
Thailand,Sweet potatoes,2001,155345,1622,119.18,28.0
Netherlands,Yams,2006,121506,850,99.15,9.5
Brazil,Plantains,2010,88781,1761,84.4,25.0
Albania,Sorghum,1997,17709,1485,123.75,16.37
Bangladesh,Maize,1994,48154,2666,140.85,25.5
Austria,Plantains,2004,86826,1110,115.23,6.35
Austria,Sorghum,1992,16458,1110,142.56,6.35
Mexico,Maize,2009,66155,758,102.98,21.0
Japan,Potatoes,2010,191344,1668,89.33,12.0
